class,Atom0.2,Atom5,Atom10,Atom20,Atom30,Atom40,Atom50,Atom60,Atom70,Atom80
amyA,0.100678142,-1.310427439,-0.609066894,-0.623780501,-0.68206563,-0.664134386,0.255803555,0.249996712,1.430163637,1.852832803
apu,-1.096023978,-1.48587059,-1.090639512,-0.274790451,0.191557191,0.037295418,0.469672667,0.511028561,1.198014348,1.539756346
sga,-0.346834866,-1.5944031,-1.396748306,-0.470488949,-0.02478822,-0.146729746,0.628488118,1.0702825,1.159110197,1.122112373
abfA,1.182074436,0.327193281,0.685466952,0.598435796,0.68299713,0.418506634,-1.405129208,-1.405129208,-1.405129208,0.320713396
manB,-0.846608792,-0.901802945,-1.029338786,-0.644780813,-0.296042229,-0.517949058,0.438018364,0.644714685,1.40645316,1.747336412
xylA,-0.366546034,-0.340327299,-1.549258695,-0.160061321,1.948003727,-0.36678604,-0.294783025,-0.439449128,1.449257778,0.119950035
cex,-0.898650071,-0.898650071,-0.898650071,-0.898650071,-0.898650071,0.094902373,1.155568471,0.807277575,1.206275255,1.229226679
naglu,0.191098614,-1.883697443,-0.453624671,0.352448107,-0.702473392,-0.758158496,-0.164813935,0.923101377,1.142442283,1.353677556
chiA,-1.463728653,-1.075884242,-0.870561233,-0.611167108,0.168904316,-0.104887192,0.633490412,0.623782061,1.133824689,1.566226949
pgu,-0.713860885,-1.021955787,-0.914455022,-0.804349164,0.220291978,-0.735511547,0.440762067,0.348948853,1.572046632,1.608082876
glx,-0.206459334,-1.50288436,0.326686853,0.063572578,0.657812837,-0.951378577,2.204559853,-0.613655876,0.092157463,-0.070411437
lig,-0.591840419,-1.517142485,-0.269934702,-0.52630862,-0.355167746,-0.808642067,1.435638155,0.174241932,1.002696058,1.456459894
mnp,-0.836695953,-1.527313207,-0.347454338,-0.180363762,-0.202820957,-0.933157708,0.614331036,0.51746246,1.269870058,1.626142371
pox,-1.083243844,-1.498004966,-1.383483485,0.614548616,0.5431632,0.180255171,0.29595688,0.13699105,0.622264195,1.571553182
accA,-0.076439474,-1.840316223,-0.67011103,-1.034619674,1.196328119,-0.544513496,0.582335058,0.550991074,0.792827942,1.043517704
aclB,-1.247112672,-1.059716837,-0.626205079,-0.453786267,-0.334234225,0.095342619,-0.291743001,1.627737989,1.496145448,0.793572025
acsA,1.136847633,-0.876142092,1.102340652,0.5475853,-0.0440967,-1.87661814,0.949844258,-0.867538503,0.313082546,-0.385304955
acsB,-1.249841108,-1.152495024,-0.671999585,-0.518618806,0.067357918,-0.398919948,0.054382421,0.901714211,1.441636944,1.526782977
acsE,0.93244591,-1.93485995,0.801959695,0.369409014,-0.334226571,0.196049332,1.584792654,-0.360385779,-0.509424908,-0.745759397
frdA,2.239587818,-0.051036386,-0.679173114,0.097206202,0.807598533,-0.917301886,0.363073833,-1.079357659,0.065638121,-0.846235463
cdaR,-0.728431683,-0.648282553,-0.201182376,-0.575377145,0.055119304,-1.782096511,0.432673874,0.727548985,1.156461802,1.563566304
korA,-0.593910232,-1.551529622,-0.272731119,-0.429430291,0.42679952,-1.383890745,0.689732719,0.713735838,1.289589914,1.111634019
mct,0.177047641,-0.997790392,-1.06702962,-0.592033382,-0.916875273,-0.650679184,0.125813881,1.492278685,1.329902236,1.099365408
pccA,0.487596728,-0.872228365,0.957878609,-0.339448951,0.327495573,-0.783674595,0.513931325,-0.411468194,1.763879302,-1.643961433
rbcL,2.299555171,0.206779339,-0.07779002,0.553762997,0.474371357,-0.986247815,0.031164522,-0.640975727,-0.84059796,-1.020021864
smtA,-0.547653731,-0.963347629,-0.674762445,-0.525188958,-0.969849254,-0.793492718,0.997706718,0.726952187,1.663386704,1.086249126
nifH,-1.689536022,-1.076483045,-0.182141766,-0.212762701,-0.166854771,-0.40223096,0.630549143,0.231202952,1.711691019,1.156566152
amoA1,-1.16633094,-1.313006496,1.194879219,0.113396756,0.863261203,-1.247995261,0.800172606,-0.101474045,1.18831754,-0.331220583
amoB,-1.821485245,-1.559351791,0.37853977,0.732590183,-0.158508728,-0.357217778,0.558380695,0.857864196,1.149806333,0.219382365
hao,-0.931680181,-0.931680181,-0.931680181,-0.931680181,-0.931680181,0.623172499,0.678697815,0.9266033,1.211919974,1.218007315
nxrA,-0.751815897,-0.751815897,-0.751815897,-0.751815897,-0.751815897,-0.751815897,0.532131286,1.185194134,1.299904262,1.493665698
narG,-1.096409156,-1.849963638,0.906213093,-0.789984956,0.028647954,0.03550346,1.138874883,-0.164073398,0.89656075,0.894631009
nirK1,0.331554597,-1.256535475,-0.574406903,-1.196934987,-0.730675965,-0.151851361,1.056890955,-0.240678207,1.398929083,1.363708263
nirK2,-1.502593773,-1.016875141,-0.917032539,-0.281095989,0.484456828,-0.408092781,1.256196078,0.026999658,1.060598468,1.297439192
nirK3,1.208561133,0.293011727,-0.609425072,-0.56396321,-0.19319854,-1.865830378,0.524205247,-0.881149221,0.957938045,1.12985027
nirS1,-0.920143825,-0.610234329,1.000400571,-0.411691099,-0.582119163,-0.434990584,1.475166686,-1.430603602,0.839367696,1.074847648
nirS2,-0.361978335,-1.383514447,-0.841834839,-0.854214787,-0.334875194,-0.443384275,1.564271507,0.371394846,1.226455623,1.057679901
nirS3,-1.186324367,-1.259833905,-0.979165815,-0.509956785,0.491264683,0.128541657,1.057990245,-0.240992074,1.588468828,0.910007534
nosZ1,-0.886495151,-0.886495151,-0.886495151,-0.886495151,-0.886495151,-0.050489359,1.039659427,1.202351643,0.996776094,1.244177952
nosZ2,-1.552981386,-0.692856797,-1.15598967,0.723525223,0.745004838,-1.035071643,0.390741805,0.480723741,1.189367626,0.907536264
ureC,1.92339077,0.249545536,0.947189436,0.183972377,0.398886003,-0.646965571,0.235775792,-1.27459608,-0.922352361,-1.094845901
hzsB,0.2457778,-0.796196508,1.123075967,0.607479526,1.337545063,-0.662517581,-1.348221126,-1.453752203,0.288935458,0.657873604
nasA,-0.617634762,-0.617634762,-0.617634762,-0.617634762,-0.617634762,-0.617634762,-0.617634762,1.184283778,1.568664286,1.57049527
napA,0.436879973,-0.641686744,0.947682037,0.769273701,-1.176524542,-1.736222889,0.822477659,0.003006013,1.20050695,-0.625392157
gdhA,-0.764375923,-0.764375923,-0.764375923,-0.764375923,-0.764375923,-0.764375923,0.744639881,1.20875445,1.396498522,1.236362687
bpp,-1.707288351,-1.213917182,-0.306051152,1.012855203,-0.901460734,1.216351488,0.621208774,0.029309128,0.753211773,0.495781053
cphy,0.672592889,0.622427059,1.22524957,1.035006482,0.533461644,0.434320203,-1.130764462,-1.130764462,-1.130764462,-1.130764462
phnK,-0.861892772,-1.065986941,-0.720458205,-0.61269154,0.122507981,0.179879781,1.834414769,-0.859590611,0.760330243,1.223487295
phoD,1.168803573,-0.379392829,0.225701862,0.232351328,-0.158719129,-1.967506893,1.497988785,-1.066054852,0.158280999,0.288547156
phoX,2.12581834,0.457658845,0.464868488,0.388693471,0.051183551,-1.166363402,-0.206168204,-1.44631177,-0.03230026,-0.63707906
gcd,-1.926851678,-0.689439736,0.436985604,-0.40407691,0.435725943,-0.482996954,-0.281784474,0.134262221,1.586544327,1.191631656
pqqC,0.895545827,0.553327837,1.783404984,0.149025618,0.076523016,-0.416112015,-0.417495308,-1.573684304,0.283274633,-1.333810288
ppk,0.783555363,-0.801540021,1.210826813,0.971881494,-0.252484371,-1.426274987,-1.025821774,-0.67440675,1.310892406,-0.096628172
ppx,-0.841372506,-0.270164551,-0.386449855,0.757181755,0.094134125,-1.329269305,-0.111710925,-0.643231038,2.250182082,0.480700219
apsA,-0.191182869,-1.352603251,-0.178430186,-0.873723583,-1.053419496,-0.458789846,0.982852336,1.758983145,0.795129009,0.57118474
dsrA,-1.009878058,-1.042083538,-0.13788694,-0.512189516,0.528137139,-1.276936804,1.325543025,-0.212421994,1.45930093,0.878415755
dsrB,0.569830088,0.80045984,0.902321904,1.539682946,0.786905621,-0.91984008,-0.91984008,-0.91984008,-0.91984008,-0.91984008
soxY,-0.635828321,-0.991101927,0.095397741,-1.192547322,-0.095407806,-0.477005781,1.764193688,-0.650169234,1.211333437,0.971135526
yedZ,-0.670090461,-0.809675155,0.410825884,-0.65658312,-1.10201536,-1.220714389,1.296846319,0.709383735,1.421623581,0.620398967
mxaF,-0.543993644,-1.303650628,-1.052027128,0.360508149,0.576767538,-1.257468286,1.611300902,0.041542856,0.902166857,0.664853386
pqq-mdh,-1.056276283,-1.009986754,-0.436099553,-0.203778129,-1.018065219,-0.295171125,0.169437661,0.980717682,0.98617853,1.88304319
mmoX,-0.66414787,-1.068844335,-0.98870354,0.558560232,-0.022505469,-1.346241965,0.387575387,0.379499021,1.696859299,1.06794924
pmoA,-1.19950158,-1.049407188,2.399999,0.202929415,0.345960871,-0.068460129,-0.236077088,-0.156530961,0.264867922,-0.526029761
