gene,function_category
OTU_1,Acidobacteriota
OTU_10,Verrucomicrobiota
OTU_100,Actinobacteriota
OTU_1000,Proteobacteria
OTU_10003,Proteobacteria
OTU_10005,Unclassified
OTU_10012,Planctomycetota
OTU_10027,Planctomycetota
OTU_10036,Acidobacteriota
OTU_10040,Acidobacteriota
OTU_10077,Acidobacteriota
OTU_10080,Acidobacteriota
OTU_10083,Proteobacteria
OTU_10093,Bacteroidota
OTU_10096,Verrucomicrobiota
OTU_10098,Acidobacteriota
OTU_10138,RCP2-54
OTU_10152,Chloroflexi
OTU_10170,Chloroflexi
OTU_10199,Proteobacteria
OTU_102,Planctomycetota
OTU_10218,Verrucomicrobiota
OTU_10242,Proteobacteria
OTU_10273,Planctomycetota
OTU_10281,Proteobacteria
OTU_10284,Firmicutes
OTU_10285,Proteobacteria
OTU_10290,Actinobacteriota
OTU_103,Acidobacteriota
OTU_10312,Actinobacteriota
OTU_10333,Proteobacteria
OTU_1034,Planctomycetota
OTU_10388,Unclassified
OTU_1039,Firmicutes
OTU_104,Chloroflexi
OTU_10436,Proteobacteria
OTU_10470,Chloroflexi
OTU_10497,Proteobacteria
OTU_105,Planctomycetota
OTU_10507,Planctomycetota
OTU_1051,Firmicutes
OTU_10564,Planctomycetota
OTU_10590,Proteobacteria
OTU_106,Chloroflexi
OTU_10602,Proteobacteria
OTU_10604,Proteobacteria
OTU_10625,Verrucomicrobiota
OTU_1063,Proteobacteria
OTU_10639,Planctomycetota
OTU_10685,NB1-j
OTU_107,Proteobacteria
OTU_1070,Bacteroidota
OTU_10724,Proteobacteria
OTU_10726,Proteobacteria
OTU_10786,Acidobacteriota
OTU_108,Proteobacteria
OTU_10823,Unclassified
OTU_10866,Myxococcota
OTU_10867,Firmicutes
OTU_10888,Actinobacteriota
OTU_10897,Proteobacteria
OTU_109,Myxococcota
OTU_10902,Myxococcota
OTU_10906,Planctomycetota
OTU_10914,Proteobacteria
OTU_10920,Proteobacteria
OTU_10923,Actinobacteriota
OTU_10929,Firmicutes
OTU_10935,Acidobacteriota
OTU_10958,Chloroflexi
OTU_10983,Acidobacteriota
OTU_11,Proteobacteria
OTU_11003,Sumerlaeota
OTU_11011,Proteobacteria
OTU_11021,Armatimonadota
OTU_11028,Chloroflexi
OTU_11045,Chloroflexi
OTU_111,Actinobacteriota
OTU_11112,Acidobacteriota
OTU_11127,Proteobacteria
OTU_11147,Actinobacteriota
OTU_112,Planctomycetota
OTU_1120,Desulfobacterota
OTU_11201,Planctomycetota
OTU_11206,Unclassified
OTU_11209,Planctomycetota
OTU_11215,Firmicutes
OTU_1125,Proteobacteria
OTU_11308,Planctomycetota
OTU_11317,Unclassified
OTU_11322,Proteobacteria
OTU_11323,Chloroflexi
OTU_11341,Actinobacteriota
OTU_11345,Bacteroidota
OTU_11355,Actinobacteriota
OTU_1137,Proteobacteria
OTU_11381,Actinobacteriota
OTU_11382,Proteobacteria
OTU_11406,Unclassified
OTU_11419,Planctomycetota
OTU_11494,Acidobacteriota
OTU_115,Bacteroidota
OTU_11519,Actinobacteriota
OTU_11520,Planctomycetota
OTU_11525,Acidobacteriota
OTU_11528,Planctomycetota
OTU_11564,Acidobacteriota
OTU_116,Proteobacteria
OTU_11611,Planctomycetota
OTU_11632,Planctomycetota
OTU_11674,Acidobacteriota
OTU_1169,Firmicutes
OTU_11692,Actinobacteriota
OTU_117,Actinobacteriota
OTU_11714,Actinobacteriota
OTU_11760,Unclassified
OTU_11776,Actinobacteriota
OTU_11788,Actinobacteriota
OTU_11797,Firmicutes
OTU_118,Gemmatimonadota
OTU_11811,MBNT15
OTU_11839,Proteobacteria
OTU_11850,Proteobacteria
OTU_11866,Proteobacteria
OTU_11876,Firmicutes
OTU_11898,Planctomycetota
OTU_119,Actinobacteriota
OTU_11909,Acidobacteriota
OTU_11925,Unclassified
OTU_11953,Planctomycetota
OTU_11979,Planctomycetota
OTU_11986,Proteobacteria
OTU_12,Unclassified
OTU_120,Bacteroidota
OTU_12081,Planctomycetota
OTU_12086,Gemmatimonadota
OTU_121,Acidobacteriota
OTU_12105,Actinobacteriota
OTU_12118,Acidobacteriota
OTU_12130,Actinobacteriota
OTU_12139,Unclassified
OTU_12176,Acidobacteriota
OTU_12191,Planctomycetota
OTU_122,Methylomirabilota
OTU_12236,Actinobacteriota
OTU_12254,Unclassified
OTU_12284,Planctomycetota
OTU_123,Proteobacteria
OTU_12336,Actinobacteriota
OTU_12379,Firmicutes
OTU_124,Actinobacteriota
OTU_12458,Desulfobacterota
OTU_12463,Proteobacteria
OTU_12488,Actinobacteriota
OTU_125,Proteobacteria
OTU_12553,Planctomycetota
OTU_1257,Bacteroidota
OTU_12581,Verrucomicrobiota
OTU_126,Actinobacteriota
OTU_12601,Verrucomicrobiota
OTU_12609,Proteobacteria
OTU_12613,Proteobacteria
OTU_1264,Acidobacteriota
OTU_12645,Bacteroidota
OTU_1265,Planctomycetota
OTU_12670,Proteobacteria
OTU_12671,Firmicutes
OTU_12686,Proteobacteria
OTU_12693,Actinobacteriota
OTU_127,Chloroflexi
OTU_1270,Planctomycetota
OTU_12707,Firmicutes
OTU_1272,Unclassified
OTU_1274,Unclassified
OTU_12747,Acidobacteriota
OTU_12789,Unclassified
OTU_128,Planctomycetota
OTU_12805,Proteobacteria
OTU_12813,Bacteroidota
OTU_12815,Unclassified
OTU_12844,Firmicutes
OTU_1285,Planctomycetota
OTU_12853,Actinobacteriota
OTU_12866,Proteobacteria
OTU_129,Gemmatimonadota
OTU_12964,Gemmatimonadota
OTU_12979,Actinobacteriota
OTU_12988,Firmicutes
OTU_13,Planctomycetota
OTU_130,Myxococcota
OTU_13032,Planctomycetota
OTU_13069,Planctomycetota
OTU_13099,Actinobacteriota
OTU_131,Unclassified
OTU_13104,Proteobacteria
OTU_1312,Planctomycetota
OTU_13131,Dependentiae
OTU_1315,GAL15
OTU_1317,Verrucomicrobiota
OTU_13172,Planctomycetota
OTU_132,Planctomycetota
OTU_13207,Actinobacteriota
OTU_1321,Proteobacteria
OTU_13217,Chloroflexi
OTU_13283,Firmicutes
OTU_13284,Proteobacteria
OTU_13293,Planctomycetota
OTU_133,Acidobacteriota
OTU_13339,Firmicutes
OTU_13369,Unclassified
OTU_13382,Planctomycetota
OTU_134,Actinobacteriota
OTU_13406,Myxococcota
OTU_13446,Proteobacteria
OTU_13458,Gemmatimonadota
OTU_13472,Acidobacteriota
OTU_13475,Firmicutes
OTU_135,Firmicutes
OTU_1352,Planctomycetota
OTU_13540,Unclassified
OTU_13548,Firmicutes
OTU_13571,Actinobacteriota
OTU_13598,Firmicutes
OTU_136,Gemmatimonadota
OTU_13619,Myxococcota
OTU_13621,Chloroflexi
OTU_13640,Proteobacteria
OTU_137,Bacteroidota
OTU_1370,Acidobacteriota
OTU_1371,Planctomycetota
OTU_13719,Proteobacteria
OTU_13786,Actinobacteriota
OTU_138,Verrucomicrobiota
OTU_13841,Planctomycetota
OTU_13848,Bacteroidota
OTU_139,Firmicutes
OTU_1391,Planctomycetota
OTU_1392,Acidobacteriota
OTU_13989,Proteobacteria
OTU_14,Methylomirabilota
OTU_140,Acidobacteriota
OTU_14026,Chloroflexi
OTU_1403,Methylomirabilota
OTU_1409,Actinobacteriota
OTU_141,Gemmatimonadota
OTU_14113,Firmicutes
OTU_1415,Planctomycetota
OTU_1418,Myxococcota
OTU_142,Myxococcota
OTU_1427,Proteobacteria
OTU_143,Proteobacteria
OTU_1430,Myxococcota
OTU_1433,Proteobacteria
OTU_14338,Proteobacteria
OTU_1434,Chloroflexi
OTU_144,WPS-2
OTU_1441,Proteobacteria
OTU_14418,Unclassified
OTU_14420,Armatimonadota
OTU_14443,SAR324_clade(Marine_group_B)
OTU_1448,Planctomycetota
OTU_14484,Proteobacteria
OTU_145,Proteobacteria
OTU_1450,Proteobacteria
OTU_1456,Planctomycetota
OTU_146,Proteobacteria
OTU_14644,Firmicutes
OTU_1467,Bacteroidota
OTU_14681,Planctomycetota
OTU_1469,Planctomycetota
OTU_147,Planctomycetota
OTU_1471,Firmicutes
OTU_1481,Proteobacteria
OTU_1489,Proteobacteria
OTU_1490,Planctomycetota
OTU_14919,Bdellovibrionota
OTU_15,Proteobacteria
OTU_150,Acidobacteriota
OTU_15028,Acidobacteriota
OTU_15081,Proteobacteria
OTU_151,Dependentiae
OTU_15177,Firmicutes
OTU_1518,Firmicutes
OTU_152,NB1-j
OTU_1522,Actinobacteriota
OTU_1524,Methylomirabilota
OTU_15256,Acidobacteriota
OTU_1526,Proteobacteria
OTU_15287,Unclassified
OTU_15312,Planctomycetota
OTU_15329,Dependentiae
OTU_1533,Acidobacteriota
OTU_15349,Unclassified
OTU_15353,Firmicutes
OTU_154,Acidobacteriota
OTU_15428,Bacteroidota
OTU_1543,Chloroflexi
OTU_15434,Actinobacteriota
OTU_1544,RCP2-54
OTU_1545,Unclassified
OTU_15459,Proteobacteria
OTU_155,Actinobacteriota
OTU_15528,Acidobacteriota
OTU_15569,Entotheonellaeota
OTU_15581,Proteobacteria
OTU_156,Acidobacteriota
OTU_15602,Proteobacteria
OTU_15659,Cyanobacteria
OTU_1566,Proteobacteria
OTU_157,Actinobacteriota
OTU_1571,Acidobacteriota
OTU_15758,Dependentiae
OTU_1578,Acidobacteriota
OTU_1579,Proteobacteria
OTU_158,Proteobacteria
OTU_15853,Gemmatimonadota
OTU_1588,Planctomycetota
OTU_15895,Chloroflexi
OTU_159,Firmicutes
OTU_1590,Firmicutes
OTU_15905,Actinobacteriota
OTU_1592,Acidobacteriota
OTU_1593,Firmicutes
OTU_15969,Proteobacteria
OTU_15971,Proteobacteria
OTU_15973,Unclassified
OTU_16,Planctomycetota
OTU_160,Proteobacteria
OTU_1601,Planctomycetota
OTU_161,Proteobacteria
OTU_16100,Actinobacteriota
OTU_1612,Firmicutes
OTU_1615,Proteobacteria
OTU_1616,Firmicutes
OTU_1617,Proteobacteria
OTU_1618,Planctomycetota
OTU_162,Chloroflexi
OTU_1622,Proteobacteria
OTU_1627,Acidobacteriota
OTU_16287,Actinobacteriota
OTU_163,Myxococcota
OTU_164,Planctomycetota
OTU_1649,Planctomycetota
OTU_165,Proteobacteria
OTU_1652,Planctomycetota
OTU_16528,Unclassified
OTU_1655,Unclassified
OTU_16554,Unclassified
OTU_1659,Unclassified
OTU_166,Planctomycetota
OTU_1668,Unclassified
OTU_1669,Acidobacteriota
OTU_167,Acidobacteriota
OTU_1670,Proteobacteria
OTU_1673,Planctomycetota
OTU_16756,Firmicutes
OTU_1676,Planctomycetota
OTU_1677,Verrucomicrobiota
OTU_16781,Firmicutes
OTU_168,Entotheonellaeota
OTU_1680,Planctomycetota
OTU_1686,Actinobacteriota
OTU_1688,Myxococcota
OTU_169,Acidobacteriota
OTU_1694,Chloroflexi
OTU_1698,Actinobacteriota
OTU_16993,Actinobacteriota
OTU_17,Proteobacteria
OTU_170,Planctomycetota
OTU_17014,Proteobacteria
OTU_17034,Bacteroidota
OTU_1704,Acidobacteriota
OTU_1707,Acidobacteriota
OTU_171,Planctomycetota
OTU_1710,Actinobacteriota
OTU_1713,Actinobacteriota
OTU_17167,Bacteroidota
OTU_1721,Firmicutes
OTU_1729,Proteobacteria
OTU_17299,Unclassified
OTU_173,Methylomirabilota
OTU_1738,Chloroflexi
OTU_174,Unclassified
OTU_17429,Unclassified
OTU_1745,Acidobacteriota
OTU_17496,Planctomycetota
OTU_175,NB1-j
OTU_1752,Acidobacteriota
OTU_1758,RCP2-54
OTU_177,Bdellovibrionota
OTU_1771,Planctomycetota
OTU_1775,Acidobacteriota
OTU_178,Acidobacteriota
OTU_17826,Bacteroidota
OTU_179,Actinobacteriota
OTU_17927,Firmicutes
OTU_1796,Acidobacteriota
OTU_1798,Unclassified
OTU_18,Actinobacteriota
OTU_180,Cyanobacteria
OTU_181,Acidobacteriota
OTU_1811,Planctomycetota
OTU_182,Acidobacteriota
OTU_18302,Acidobacteriota
OTU_1833,Planctomycetota
OTU_184,Myxococcota
OTU_1849,Acidobacteriota
OTU_185,Myxococcota
OTU_1855,Planctomycetota
OTU_186,Planctomycetota
OTU_1860,Firmicutes
OTU_18610,Unclassified
OTU_1864,Planctomycetota
OTU_1865,Bacteroidota
OTU_1866,Acidobacteriota
OTU_1869,Chloroflexi
OTU_187,Firmicutes
OTU_1871,Unclassified
OTU_1872,Firmicutes
OTU_188,Firmicutes
OTU_1880,Acidobacteriota
OTU_1881,Unclassified
OTU_189,Actinobacteriota
OTU_1890,Planctomycetota
OTU_19,Planctomycetota
OTU_190,Bacteroidota
OTU_1900,Verrucomicrobiota
OTU_19058,Acidobacteriota
OTU_1907,Acidobacteriota
OTU_1909,Actinobacteriota
OTU_191,Gemmatimonadota
OTU_1914,Desulfobacterota
OTU_1919,Verrucomicrobiota
OTU_1925,Latescibacterota
OTU_1928,Planctomycetota
OTU_193,Myxococcota
OTU_1930,Chloroflexi
OTU_1931,Proteobacteria
OTU_19380,Firmicutes
OTU_1939,Unclassified
OTU_194,Planctomycetota
OTU_195,Proteobacteria
OTU_1950,Acidobacteriota
OTU_1954,Acidobacteriota
OTU_19557,MBNT15
OTU_1959,Planctomycetota
OTU_1960,Planctomycetota
OTU_1965,Verrucomicrobiota
OTU_1968,Planctomycetota
OTU_1969,Planctomycetota
OTU_197,Planctomycetota
OTU_19759,Acidobacteriota
OTU_198,Acidobacteriota
OTU_1987,Planctomycetota
OTU_19878,Unclassified
OTU_19889,Unclassified
OTU_199,Acidobacteriota
OTU_1992,Planctomycetota
OTU_1994,Unclassified
OTU_1996,Proteobacteria
OTU_19988,Verrucomicrobiota
OTU_2,Proteobacteria
OTU_20,Proteobacteria
OTU_200,Bacteroidota
OTU_20021,Dependentiae
OTU_2004,Planctomycetota
OTU_201,Nitrospirota
OTU_2013,Planctomycetota
OTU_2015,Actinobacteriota
OTU_2016,Unclassified
OTU_2017,Unclassified
OTU_20183,Firmicutes
OTU_20205,SAR324_clade(Marine_group_B)
OTU_2024,Proteobacteria
OTU_203,Planctomycetota
OTU_2031,Planctomycetota
OTU_2032,Acidobacteriota
OTU_2033,Planctomycetota
OTU_2037,Proteobacteria
OTU_2043,Acidobacteriota
OTU_205,Gemmatimonadota
OTU_2050,Acidobacteriota
OTU_20584,Myxococcota
OTU_206,Firmicutes
OTU_2060,Acidobacteriota
OTU_2065,Proteobacteria
OTU_2067,Proteobacteria
OTU_2068,Actinobacteriota
OTU_2069,Actinobacteriota
OTU_207,Armatimonadota
OTU_2072,Actinobacteriota
OTU_2073,Unclassified
OTU_2075,Planctomycetota
OTU_2076,Proteobacteria
OTU_2078,Acidobacteriota
OTU_2079,Acidobacteriota
OTU_208,Myxococcota
OTU_2080,Unclassified
OTU_2082,Firmicutes
OTU_2085,Planctomycetota
OTU_209,Latescibacterota
OTU_2090,Planctomycetota
OTU_2099,Planctomycetota
OTU_21,Firmicutes
OTU_210,Actinobacteriota
OTU_2101,Acidobacteriota
OTU_2105,Acidobacteriota
OTU_2106,Firmicutes
OTU_211,Proteobacteria
OTU_2114,Proteobacteria
OTU_21144,Proteobacteria
OTU_2118,Unclassified
OTU_212,Firmicutes
OTU_2127,Proteobacteria
OTU_2131,Proteobacteria
OTU_2132,Actinobacteriota
OTU_2134,Firmicutes
OTU_2139,Acidobacteriota
OTU_214,Planctomycetota
OTU_2145,Planctomycetota
OTU_215,Verrucomicrobiota
OTU_2152,Proteobacteria
OTU_2153,Acidobacteriota
OTU_2155,Acidobacteriota
OTU_216,Verrucomicrobiota
OTU_2163,Acidobacteriota
OTU_2168,Chloroflexi
OTU_2169,Proteobacteria
OTU_2172,Verrucomicrobiota
OTU_21732,Planctomycetota
OTU_2176,Proteobacteria
OTU_218,Proteobacteria
OTU_2181,Gemmatimonadota
OTU_219,Actinobacteriota
OTU_22,Firmicutes
OTU_220,Proteobacteria
OTU_2201,Proteobacteria
OTU_2207,Planctomycetota
OTU_2208,Planctomycetota
OTU_221,Planctomycetota
OTU_2211,Actinobacteriota
OTU_2218,Unclassified
OTU_222,Firmicutes
OTU_2220,Proteobacteria
OTU_2221,Methylomirabilota
OTU_2225,Proteobacteria
OTU_2226,Verrucomicrobiota
OTU_2227,Verrucomicrobiota
OTU_223,Verrucomicrobiota
OTU_2235,Proteobacteria
OTU_224,Unclassified
OTU_2245,Proteobacteria
OTU_2246,Planctomycetota
OTU_2247,Proteobacteria
OTU_2249,Acidobacteriota
OTU_225,Proteobacteria
OTU_2250,Acidobacteriota
OTU_2255,Actinobacteriota
OTU_2257,Planctomycetota
OTU_226,Proteobacteria
OTU_227,Firmicutes
OTU_2271,Acidobacteriota
OTU_2273,Myxococcota
OTU_2274,Planctomycetota
OTU_2279,RCP2-54
OTU_228,Chloroflexi
OTU_2283,Planctomycetota
OTU_2289,Planctomycetota
OTU_229,Proteobacteria
OTU_2298,Planctomycetota
OTU_23,Acidobacteriota
OTU_2301,Proteobacteria
OTU_231,Planctomycetota
OTU_2310,Firmicutes
OTU_2312,Unclassified
OTU_2313,Bacteroidota
OTU_23132,Unclassified
OTU_2316,Myxococcota
OTU_232,Verrucomicrobiota
OTU_2329,Planctomycetota
OTU_233,Acidobacteriota
OTU_234,Bdellovibrionota
OTU_2340,Actinobacteriota
OTU_2345,Unclassified
OTU_2347,Proteobacteria
OTU_2348,Gemmatimonadota
OTU_2355,Bacteroidota
OTU_236,Proteobacteria
OTU_2362,Acidobacteriota
OTU_2364,Proteobacteria
OTU_2366,Verrucomicrobiota
OTU_2368,Proteobacteria
OTU_237,Proteobacteria
OTU_2371,Planctomycetota
OTU_2374,Firmicutes
OTU_238,Proteobacteria
OTU_2380,Proteobacteria
OTU_2381,Acidobacteriota
OTU_2388,Firmicutes
OTU_239,Firmicutes
OTU_2391,Acidobacteriota
OTU_2395,Proteobacteria
OTU_24,Verrucomicrobiota
OTU_2400,Planctomycetota
OTU_2402,Planctomycetota
OTU_2403,Proteobacteria
OTU_2405,Planctomycetota
OTU_2406,Chloroflexi
OTU_2407,Planctomycetota
OTU_241,Desulfobacterota
OTU_2410,Myxococcota
OTU_2411,Actinobacteriota
OTU_2417,Unclassified
OTU_242,Acidobacteriota
OTU_2420,Actinobacteriota
OTU_2423,Planctomycetota
OTU_2424,Planctomycetota
OTU_24249,Unclassified
OTU_243,Elusimicrobiota
OTU_2433,Planctomycetota
OTU_2434,Planctomycetota
OTU_244,Verrucomicrobiota
OTU_2442,Planctomycetota
OTU_24443,Bacteroidota
OTU_2447,Proteobacteria
OTU_245,Proteobacteria
OTU_2455,Proteobacteria
OTU_2458,Bdellovibrionota
OTU_246,Unclassified
OTU_24610,Actinobacteriota
OTU_2462,Unclassified
OTU_2463,Planctomycetota
OTU_2465,Planctomycetota
OTU_2466,Chloroflexi
OTU_247,Proteobacteria
OTU_2471,Unclassified
OTU_2479,Proteobacteria
OTU_2487,Unclassified
OTU_249,Proteobacteria
OTU_2494,Actinobacteriota
OTU_25,Acidobacteriota
OTU_250,Actinobacteriota
OTU_2503,Planctomycetota
OTU_2506,Proteobacteria
OTU_2511,Proteobacteria
OTU_2513,Actinobacteriota
OTU_25187,Firmicutes
OTU_252,Bacteroidota
OTU_2527,Proteobacteria
OTU_253,Chloroflexi
OTU_2531,Unclassified
OTU_2534,Proteobacteria
OTU_2538,Planctomycetota
OTU_254,Planctomycetota
OTU_2540,Myxococcota
OTU_2541,Planctomycetota
OTU_255,Chloroflexi
OTU_2559,Verrucomicrobiota
OTU_256,Proteobacteria
OTU_2560,Proteobacteria
OTU_2562,Proteobacteria
OTU_2563,Planctomycetota
OTU_2568,Unclassified
OTU_257,Proteobacteria
OTU_2570,Sumerlaeota
OTU_2574,Firmicutes
OTU_2576,Unclassified
OTU_258,Armatimonadota
OTU_2581,Proteobacteria
OTU_2583,Planctomycetota
OTU_2589,Unclassified
OTU_259,Firmicutes
OTU_2596,Acidobacteriota
OTU_26,Proteobacteria
OTU_2603,SAR324_clade(Marine_group_B)
OTU_2604,Verrucomicrobiota
OTU_2607,Acidobacteriota
OTU_261,Verrucomicrobiota
OTU_2612,Gemmatimonadota
OTU_2613,Firmicutes
OTU_2619,Actinobacteriota
OTU_262,Elusimicrobiota
OTU_2623,Proteobacteria
OTU_2627,Planctomycetota
OTU_2628,Chloroflexi
OTU_263,Planctomycetota
OTU_2630,Planctomycetota
OTU_2636,Proteobacteria
OTU_264,Firmicutes
OTU_265,Proteobacteria
OTU_2653,Dependentiae
OTU_2656,Firmicutes
OTU_266,Proteobacteria
OTU_2663,Planctomycetota
OTU_267,Proteobacteria
OTU_2672,Acidobacteriota
OTU_268,Proteobacteria
OTU_2681,Unclassified
OTU_2687,Proteobacteria
OTU_2688,Proteobacteria
OTU_269,Acidobacteriota
OTU_2696,Acidobacteriota
OTU_27,Proteobacteria
OTU_270,Actinobacteriota
OTU_2704,Bdellovibrionota
OTU_2705,Proteobacteria
OTU_271,Armatimonadota
OTU_2718,Planctomycetota
OTU_2719,Proteobacteria
OTU_2720,Planctomycetota
OTU_2722,Acidobacteriota
OTU_2726,Gemmatimonadota
OTU_273,Actinobacteriota
OTU_274,Proteobacteria
OTU_2740,Planctomycetota
OTU_2741,Proteobacteria
OTU_2742,Proteobacteria
OTU_2745,Planctomycetota
OTU_2746,Chloroflexi
OTU_2748,Myxococcota
OTU_275,Proteobacteria
OTU_2757,Planctomycetota
OTU_2758,Acidobacteriota
OTU_276,Proteobacteria
OTU_2762,Acidobacteriota
OTU_2764,Acidobacteriota
OTU_2769,Firmicutes
OTU_277,Acidobacteriota
OTU_2770,Planctomycetota
OTU_2779,Unclassified
OTU_278,Proteobacteria
OTU_2786,Verrucomicrobiota
OTU_279,Verrucomicrobiota
OTU_2793,Actinobacteriota
OTU_2794,Planctomycetota
OTU_2799,Acidobacteriota
OTU_28,Proteobacteria
OTU_280,Gemmatimonadota
OTU_2800,Planctomycetota
OTU_2805,Proteobacteria
OTU_2807,Planctomycetota
OTU_281,Proteobacteria
OTU_2816,Acidobacteriota
OTU_2817,Planctomycetota
OTU_282,Proteobacteria
OTU_2823,Acidobacteriota
OTU_2825,Acidobacteriota
OTU_283,Chloroflexi
OTU_2834,Proteobacteria
OTU_284,Firmicutes
